path_id,level_1,level_2,level_3,hierarchy_path,definition,include_when,exclude_when,required_subject_terms,required_focus_terms,alternative_standalone_cues,supporting_terms_from_old_ontology,prompt_logic_note
V3_120,Production,Fish health,Other diseases - General,Production > Fish health > Other diseases - General,"Research on diseases other than sea lice that is not primarily about epidemiology, diagnosis or prevention/treatment.","Use for pathology, virulence, challenge studies, pathogen biology, broad disease reviews or disease-focused studies spanning several questions.","Do not use when epidemiology, diagnosis or prevention/treatment is clearly the substantive focus.","fish disease, infection, pathogen, parasite, bacterium, virus, fungus, oomycete, disease name or pathogen name","pathology, virulence, disease biology, challenge study, broad disease review, mixed disease questions",,"Aeromonad septicemia, Aeromonas caviae, Aeromonas salmonicida, Branchiomonas cysticola, Candidatus Branchiomonas cysticola, Chryseobacterium, Citrobacter, Deefgea rivuli, Desmozoon lepeophtherii, diplomonad flagellates, Diplostomum pseudospathaceum, Flavobacterium, Flavobacterium columnare, Flavobacterium psychrophilum, Francisella noatunensis, Gyrodactylus salaris, Hexamita salmonis, IHN, IHNV, infectious salmon anemia virus, infectious salmon anaemia virus, Janthinobacterium, Lactococcus, Lactococcus garvieae, Moritella viscosa, Myxobolus cerebralis, Paramoeba pemaquidensis, Paramoeba perurans, Piscichlamydia salmonis, piscine myocarditis virus, piscine orthoreovirus, piscine reovirus, Plesiomonas, Plesiomonas shigelloides, poxvirus, Pseudomonas, Renibacterium salmoninarum, salmon gill poxvirus, salmonid alphavirus, Saprolegnia diclina, Saprolegnia parasitica, Shewanella, Spironucleus barkhanus, Spironucleus salmonis, Spironucleus vortens, Streptococcus iniae, Streptococcus phocae, Tenacibaculum maritimum, Tetracapsula bryosalmonae, Vagococcus, Vibrio anguillarum, Vibrio salmonicida, Viral hemorrhagic septicemia, Viral haemorrhagic septicemia, Weissella, Yersinia ruckeri, Cryptosporidium parvum, chum salmon reovirus, aquareovirus, Salmoxcellia, Streptococcus parauberis, Flavobacterium branchiophilum, Lactococcus lactis, isavirus, orthomyxoviridae, pancreatic necrosis virus, Candidatus arthromitus, Neoparamoeba perurans, Clavichlamydia salmonicola, Gnathia, Cyathocephalus truncatus, Acanthamoeba, Hartmannella, Naegleria, Protacanthamoeba, Vannella, Rhogostoma minus, paramyxovirus, Ichthyophthirius multifiliis, Togaviridae, Cytophaga, Kudoa thyrsite, cnidaria infe, Myxosporea, Arthrobacter ulcerisalmonis, Arthrobacter, Chryseobacterium chaponense, Flavobacterium chilense, Flavobacterium araucananum, Diplostomum paracaudum, Eubothrium crassum, acanthocephala, Echinorhynchus truttae, Tenacibaculum dicentrarchi, Aliivibrio bacteria, Gyrodactylus derjavini, Gyrodactylus, rhabdovirus, Pseudomonas anguilliseptica, PKX, Ceratomyxa shasta, salmon leukemia virus, Phialophora, Flavobacterium muglaense, Pseudomonas piscium, Pseudomonas pisciculturae, Pseudomonas mucoides, Pseudomonas neuropathica, Pomphorhynchus laevis, Aeromonas hydrophila, Aeromonas jandaei, Aeromonas sobria, Nucleospora salmonis, monogenean flatworm, metacercariae, protothecosis, Prototkeca, salmonid novirhabdovirus, novirhabdovirus, Hysterothylacium aduncum, Sphareothecum destruens, rosette agent, aquatic reovirus, Cystidicola farionis, Flexibacter maritimus, Metschnikowia bicuspidata, Streptococcus, landlocked salmon virus, land-locked salmon virus, Ichthyobodo necator, pike fry rhabdovirus, Saprolegnia, Sphaerospora truttae, Proteocephalus, Aliivibrio wodanis, Loma salmonae, Gilguina squali, Myxobolus squamalis, Myxobolus insidiosus, Myxidium truttae, Myxidium salvelini, Chloromyxum, Parvicapsula, Sphaerospora, Oncorhynchus masou virus, saprolegniales, orthomyxovir, Lactococcus petauri, Flexibacter psychrophilus, Apatemon gracilis, icosahedral virus, Chryseobacterium balustinum, Flavobacterium tructae, Saprolegnia delica, Achlya ambisexualis, Saprolegnia anisospora, Newbia oligocantha, Kudoa thyrsites, Anisakis simplex, Mycobacteroides salmoniphilum, Stephanostomum tenue, Stephanostomum, Dermocystidium marinum, Vagococcus salmoninarum, Atlantic salmon calicivirus, calicivirus, totivirus, orthomyxovirus, Aphanomyces astaci, Candidatus, Clavochlamydia salmonicola, Vibrio harveyii, Staphylococcus warneri, piscine nodavirus, Chilodonella hexasticha, Apiosoma piscicola, retrovirus of salmonid, Morganella psychrotolerans, Pseudomonas putida, Pseudomonas plecoglossicida, Pseudomonas aeruginosa, Pseudomonas fluorescens, Rhodococcus erythropolis, Egtved virus, Exophiala psychrophila, Oceanivirga salmonicida, Ochroconis humicola, Anisakis pegreffii, Gyrodactylus bohemicus, epizootic haematopoietic necrosis virus, Listonella anguillarum, Edwarsiella tarda, Ichthyophonus hoferi, mesomycetozoea, Flavobacterium johnsoniae, Ichthyophthirius multifilürs, Ichthyophthirius multifilurs, anisakid nematode, Vibrio ordalii, Discocotyle sagittata, Tetracapsuloides bryosalmonae, Malacosporea, Salmincola californiensis, Pantoea agglomerans, Chryseobacterium aquaticum, Diphyllobothrium, Basidiobolus, streptococcal, streptococc, Ceratothoa gaudichaudii, Carnobacterium maltaromaticum, Prototheca salmonis, Diplostomum spathaceum, Cystobranchus pawlowskii, bafinivirus, Chinook salmon bafinivirus, diplomonad intestinal parasite, togavirus, Anilocra montti, Crepidostomum farionis, Margaritifera margaritifera infection, Varracalbmi, Neoechinorhynchus buttnerae, Weissella ceti, Paranucleospora theridion, Mycobacterium marinum, Mycobacterium chelonae, Mycobacterium fortuitum, Mycobacterium salmoniphilum, Tenacibaculum soleae, Cryptobia salmositica, SAV-3, Flavobacterium plurextorum, Tasmanian salmon reovirus, Aeromonas veronii, aeromonosis, air sacculitis, amoebic gill disease, bacterial cold water disease, bacterial cold-water disease, cold water vibriosis, columnaris disease, epitheliocystis, epizootic haematopoietic necrosis disease, fry trout mortality syndrome, furunculosis, heart and skeletal muscle inflammation, HSMI, Ich disease, Ichthyophthirus multifilis, Infectious haematopoietic necrosis, infectious hematopoietic necrosis, jaundice syndrome, lactococcosis, pancreas disease, piscirickettsiosis, Proliferative kidney disease, puffy skin, puffy skin disease, rainbow trout fry syndrome, red mark syndrome, saprolegniosis, skeletal muscle inflammation, sleeping disease, Streptococcosis, whirling disease, white spot, winter ulcer disease, yersiniosis, tenacibaculosis, enteric redmouth disease, chlamydia, aetiology, nodular gill disease, Hitra disease, coccidiosis, paramoebiasis, saprolegniasis, haemorrhagic kidney syndrome, hemorrhagic kidney syndrome, no‐mucus skin disease, no mucus skin disease, caligidosis, glochidiosis, nephrocalcinosis, gas bubble disease, spironucleosis, winter-ulcer, winter ulcer, granulomatous hepatitis, ichthyophthiriosis, erythrocytic inclusion body syndrome, erythrocytic inclusion body, anisakiasis, mycobacteriosis, rainbow trout gastroenteritis, strawberry disease, enteritic syndrome, mouth rot, rickettsial syndrome, summer gut syndrome, summer gut, nervous necrosis, viral nervous necrosis, Aeromonas septicemia, infectious pancreatic necrosis, salmonid gill pox, francisellosis, rickettsia syndrome, rickettsia septicemia, Edwardsiellosis, swim bladder mycosis, summer lesion syndrome, basidiobolomycosis, net-pen liver disease, yellow mouth, diplostomiasis, glycogen storage disease, panophthalmitis, water mould, weissellosis, Hitra-disease, complex gill disease, heart- and skeletal muscle inflammation, pathogen, bacteri, eyefluke, eye fluke, disease, fungal, fungi, fungus, gram-negative, gram-positive, histopatholog, infect, infectious agent, infest, parasit, patholog, viral, virulence, virulent, virus, waterborne, x-cell, phage, etiology, amoeb, myxozoa, zoonos, zoonotic, microsporidia, myxosporean, actinospore, nematode, herpesvirus, reo-like virus, helminth, cestode, birnavirus, nidovirus, herpes, strigeid heartfluke, heartfluke, eye-fluke, heart-fluke, endoparasitic cnidaria, isopode parasite, isopod parasite, isopode ectoparasite, isopod ectoparasite, leech, intestinal parasite, infecting, infectious, infected, glochidia, endohelminth, Aphanomyces, pathogenic haemoflagellate, protozoa, Coleps, transmitted vertical, transmitted horizontal, Pathology, pathogen biology, broad disease research",Require a disease or pathogen concept and the stated research-question focus.
V3_121,Production,Fish health,Other diseases - Epidemiology,Production > Fish health > Other diseases - Epidemiology,"Occurrence, prevalence, incidence, distribution, transmission or risk factors for diseases other than sea lice.","Use when disease occurrence, outbreaks, surveillance, transmission or epidemiological risk is substantive.","Do not use for treatment, diagnostic or laboratory challenge studies unless epidemiology is also a substantive question.","fish disease, infection, pathogen, parasite, bacterium, virus, fungus, oomycete, disease name or pathogen name","epidemiology, prevalence, incidence, occurrence, outbreak, transmission, surveillance, risk factors",,"disease transmission, epizootiology, transmission routes, vertical transmission, horizontal transmission, pathogen transmission, transmission risk, transmission control, epidemic, disease outbreak, epidemiolog, spread of disease, spread of pathogen, spread of infecti, spreading disease, spreading infect, spreading pathogen, Prevalence, outbreaks, surveillance, transmission, risk factors",Require a disease or pathogen concept and the stated research-question focus.
V3_122,Production,Fish health,Other diseases - Prevention and treatment,Production > Fish health > Other diseases - Prevention and treatment,"Prevention, control or treatment of diseases other than sea lice.","Use for vaccines, therapeutants, bath treatments, functional interventions, biosecurity measures or other disease-control approaches.",Do not use for routine husbandry or for treatment mentioned only as background.,"fish disease, infection, pathogen, parasite, bacterium, virus, fungus, oomycete, disease name or pathogen name","prevention, control, treatment, vaccination, therapeutant, prophylaxis, biosecurity intervention",,"peracetic acid, Perosan, Ovadine, chloramine, formaldehyde, sodium hypochlorite, Virkon, disinfect, saniti, antifouling, antifoulant, prophyla, sanitary treatment, sanitisation, sanitization, egg ozonation, egg wash, egg-wash, constructed wetland, tributyltin, TBT, vaccin, anti-ectoparasitic, antiectoparasitic, anti ectoparasitic, triclabendazole, antibiotic, erythromycin, florfenicol, amoxicillin, doxycycline, clavulanic acid, ampicillin, difloxacin, fluoroquinolone, oxytetracycline, oxolinic acid, tylosin, chloramphenicol, furazolidone, nitrofurantoin, sulfaguanidine, sulfamethazine, sulfadimethioxine, ormetoprim, amoxycillin, sarafloxacin, ciprofloxacin, penicillin, flumequine, toltrazuril, formalin, bithionol, Parasite-S, ketoconazole, imidazole, enrofloxacin, malachite green, malachite, danofloxacin, praziquantel, nitroimidazole, silver nanoparticle, quellenin, red clay, cecropin, phage therapy, viral chemotherapy, sarafloxacin hydrochloride, andrographolide, chemical, injection, immersion, bathing, pharmacokinetic, biosecurity, chemotherap, pharmaceutical, chemotherapeutant, immunostimulant, flagellin, biocontrol, bio control, organophosphate, dichlorvos, azamethiphos, endosulfan, chlorpyrifos, diazinon, levamisole, control of infecti, disease control, pathogen control, control of disease, Vaccination, therapeutants, bath treatment",Require a disease or pathogen concept and the stated research-question focus.
V3_123,Production,Fish health,Other diseases - Diagnosis and detection,Production > Fish health > Other diseases - Diagnosis and detection,"Diagnosis, detection or identification of diseases other than sea lice.","Use when diagnostic performance, disease detection, pathogen identification or health surveillance is substantive.","If development or validation of the method itself is the principal contribution, also consider Methods.","fish disease, infection, pathogen, parasite, bacterium, virus, fungus, oomycete, disease name or pathogen name","diagnosis, detection, identification, assay performance, screening, surveillance",,"Diagnostic assays, detection, pathogen identification, surveillance",Require a disease or pathogen concept and the stated research-question focus.
V3_124,Production,Fish health,Non-infectious disease and disorders,Production > Fish health > Non-infectious disease and disorders,"Nutritional, metabolic, toxicological, deformity or injury-related disorders.",Use when a non-infectious condition is substantive.,Do not use normal physiology or product defects.,"Non-infectious disease and disorders, Deficiency, deformity, nephrocalcinosis, toxicity",,,"organosomatic ind, blood cell count, haematol, hematol, general condition, fin condition, physiological status, early matur, osmotic regulat, septum transversum, vertebral deform, skeletal deform, vertebral column deform, opercular deformit, cardiac malformation, vertebral compression, stunted growth, spinal anomal, lesion, injury, wound, scale loss, muscle damage, injure, injured, injuring, toxic, sublethal, tri-n-butyltin oxide, TBT, TBTO, tri-n-butyl-tin oxide, iron toxic, toxicity of iron, toxicity, toxic effect, bloom, jellyfish, Pelagia noctiluca, aglal bloom, dinoflagellate bloom, phytoplankton bloom, Chrysochromulina polylepis, Chrysochromulina, Prymnesium parvum, plastic, microplastic, heterosigma, red tide, Gymnodinium nagasakiense, Chattonella antiqua, Chattonella marina, Heterosigma akasbiwo, Chrysochromulina leadbeateri, Pseudochattonella verruculosa, Heterosigma akashiwo, raphidophyte, Alexandrium fundyense, Prymnesium patelliferum, Physalia physalis, didymo, rock snot, rocksnot, Cyanea capillata, jelly fish, Octactis speculum, silicoflagellate, Alexandrium catenella, Cochlodinium polykrikoides, cyanobacteria, brown phytoplankton, crude petroleum, crude oil, oil spill, oil slick, oil pollution, Deficiency, deformity, nephrocalcinosis","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_125,Production,Fish welfare,Welfare assessment,Production > Fish welfare > Welfare assessment,"Assessment, measurement or indicators of fish welfare.",Use when welfare is explicitly or substantively evaluated.,Do not treat all stress or physiological studies as welfare studies.,"Welfare assessment, Operational welfare indicators, welfare scoring",,,"welfare, animal welfare, animal rights, fish welfare evaluation index, Operational welfare indicators, welfare scoring","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_126,Production,Fish welfare,Welfare risks and consequences,Production > Fish welfare > Welfare risks and consequences,"Drivers, hazards or consequences of poor welfare.",Use when conditions or practices are analysed through a welfare lens.,Do not use generic health or mortality studies without welfare framing.,"Welfare risks and consequences, Crowding, handling, injury, pain, poor welfare",,,"lesion, injury, wound, scale loss, muscle damage, injure, injured, injuring, pain, suffering, suffer, Crowding, handling, poor welfare","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_127,Production,Fish welfare,Welfare improvement,Production > Fish welfare > Welfare improvement,Interventions intended to improve fish welfare.,Use when welfare mitigation or improvement is substantive.,Do not use routine husbandry improvements without welfare framing.,"Welfare improvement, Humane handling, welfare-focused management",,,"tricaine methanesulfonate, isoeugenol, anesthetic, anaesthetic, clove oil, eugenol, ketamine, electroanesthesia, MS222, Syzygium aromaticum, menthol, MS-222, citalopram, selective serotonin reuptake inhibitor, tryptophan, Humane handling, welfare-focused management","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_128,Production,Stress and mortality,Stress,Production > Stress and mortality > Stress,"Causes, responses or consequences of stress in cultured fish.",Use when stress is a substantive focus.,Do not use any cortisol measurement automatically.,"Stress, Acute stress, chronic stress, stress response",,,"cortisol, stress, stressful, fecal corticoid metabolite, foecal corticoid metabolite, FCM, distress, aggressi, handling stress, fish handling, sound expos, exposure to sound, noise expos, exposure to noise, exposed to sound, exposed to noise, decibel, UV-B, ultraviolet, UV radiation, UV-radiation, Acute stress, chronic stress, stress response","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_129,Production,Stress and mortality,Mortality and survival,Production > Stress and mortality > Mortality and survival,"Patterns, causes or reduction of mortality and survival loss.",Use when mortality or survival is a substantive research question.,Do not use routine mortality reporting.,"Mortality and survival, Mass mortality, survival, causes of death",,,"Mass mortality, survival, causes of death","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_130,Production,Harvest and slaughter,Harvest and pre-slaughter management,Production > Harvest and slaughter > Harvest and pre-slaughter management,Harvest operations and practices immediately before slaughter.,"Use when harvesting, fasting, crowding or transport to slaughter is substantive.",Do not use post-harvest product processing.,"Harvest and pre-slaughter management, Harvest operations, fasting, pre-slaughter crowding",,,"Harvest operations, fasting, pre-slaughter crowding","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_131,Production,Harvest and slaughter,Stunning and slaughter,Production > Harvest and slaughter > Stunning and slaughter,Methods and consequences of stunning and slaughter.,"Use when killing method, effectiveness or welfare is central.",Do not use processing after death.,"Stunning and slaughter, Percussive stunning, electrical stunning, slaughter welfare",,,"Percussive stunning, electrical stunning, slaughter welfare","Assign when the record substantively addresses this pathway. Terms are lexical cues, not a requirement for literal matching."
V3_132,Environment,Environmental stressors,Water and ocean conditions,Environment > Environmental stressors > Water and ocean conditions,"Impacts of physical or chemical water and ocean conditions on farmed salmon, production performance, health, welfare or farm operations.","Use when temperature, dissolved oxygen, hypoxia, salinity, pH, ocean acidification, turbidity, suspended material or another water condition is assessed for its effects on farmed fish or salmon production.","Do not use for environmental effects caused by farms, routine site description, hydrodynamic effects around pens, or explicitly climate-framed exposures. Use the corresponding environmental-impact, hydrodynamics or Climate change pathway instead.","water temperature, dissolved oxygen, hypoxia, oxygen depletion, salinity, pH, ocean acidification, turbidity, suspended solids, water chemistry","impact, effect, exposure, response, productivity, growth, mortality, health, welfare, physiology, production","thermal stress, low oxygen, oxygen limitation, salinity stress, acidification exposure","temperature, water temperature, high temperature, low temperature, dissolved oxygen, oxygen concentration, hypoxia, oxygen depletion, salinity, pH, ocean acidification, turbidity, suspended sediment, water chemistry, thermal stress","Require a water or ocean-condition exposure together with a substantive effect on farmed salmon, production or farm operations."
V3_133,Environment,Environmental stressors,Natural biological hazards,Environment > Environmental stressors > Natural biological hazards,"Impacts of naturally occurring biological hazards on farmed salmon, production performance, health, welfare or farm operations.","Use when harmful algal blooms, phytoplankton or cyanobacterial blooms, jellyfish, natural biotoxins or comparable biological hazards are assessed for their effects on farmed fish or salmon production.","Do not use for pathogens, infectious diseases, parasites or sea lice; use the relevant Fish health pathway. Do not use studies concerned only with bloom ecology or monitoring without substantive effects on farmed salmon.","harmful algal bloom, HAB, algal bloom, phytoplankton bloom, cyanobacterial bloom, dinoflagellate bloom, jellyfish bloom, jellyfish, natural biotoxin","impact, effect, exposure, response, productivity, growth, mortality, gill damage, health, welfare, production loss","Chrysochromulina, Heterosigma, Chattonella, Alexandrium, Cochlodinium, Pelagia noctiluca","harmful algal bloom, HAB, algal bloom, phytoplankton bloom, cyanobacterial bloom, dinoflagellate bloom, jellyfish, jellyfish bloom, natural toxin, biotoxin, Chrysochromulina, Heterosigma, Chattonella, Alexandrium, Cochlodinium, Pelagia noctiluca","Require a natural biological hazard together with a substantive effect on farmed salmon, production or farm operations."
